id,name,energy_kcal_per_100g,unit,serving_size,gtin13,image_url,product_url,source,created_at
1,biscuit sponge fingers,402,g,10,,https://lokcal.app/images/1_biscuit_sponge_fingers.jpg,,nevo,
2,mozzarella,253,g,28,,https://lokcal.app/images/2_mozzarella.jpg,,nevo,
3,dried raisins,325,g,40,,https://lokcal.app/images/3_dried_raisins.jpg,,nevo,
4,runner beans,20,g,100,,https://lokcal.app/images/4_runner_beans.jpg,,nevo,
5,apricots,44,g,70,,https://lokcal.app/images/5_apricots.jpg,,nevo,
6,wafer galette,480,g,25,,https://lokcal.app/images/6_wafer_galette.jpg,,nevo,
7,iceberg lettuce,14,g,100,,https://lokcal.app/images/7_iceberg_lettuce.jpg,,nevo,
8,kaassouffle,359,g,100,,https://lokcal.app/images/8_kaassouffle.jpg,,nevo,
9,mango,66,g,165,,https://lokcal.app/images/9_mango.jpg,,nevo,
10,margarine,737,g,14,,https://lokcal.app/images/10_margarine.jpg,,nevo,
11,whipped cream,305,g,30,,https://lokcal.app/images/11_whipped_cream.jpg,,nevo,
12,dutch spiced cake,308,g,100,,https://lokcal.app/images/12_dutch_spiced_cake.jpg,,nevo,
13,croissant,403,g,57,,https://lokcal.app/images/13_croissant.jpg,,nevo,
14,frikandel,251,g,100,,https://lokcal.app/images/14_frikandel.jpg,,nevo,
15,iced cup cake,427,g,50,,https://lokcal.app/images/15_iced_cup_cake.jpg,,nevo,
16,mascarpone cheese,455,g,30,,https://lokcal.app/images/16_mascarpone_cheese.jpg,,nevo,
17,eclair,283,g,100,,https://lokcal.app/images/17_eclair.jpg,,nevo,
18,sausage roll,382,g,100,,https://lokcal.app/images/18_sausage_roll.jpg,,nevo,
20,amaretti biscuit,411,g,15,,https://lokcal.app/images/20_amaretti_biscuit.jpg,,nevo,
21,aioli,726,g,15,,https://lokcal.app/images/21_aioli.jpg,,nevo,
22,tzatziki,156,g,30,,https://lokcal.app/images/22_tzatziki.jpg,,nevo,
23,pita bread,245,g,60,,https://lokcal.app/images/23_pita_bread.jpg,,nevo,
24,celeriac,38,g,100,,https://lokcal.app/images/24_celeriac.jpg,,nevo,
25,beef frankfurter,180,g,75,,https://lokcal.app/images/25_beef_frankfurter.jpg,,nevo,
26,red kidney beans,116,g,90,,https://lokcal.app/images/26_red_kidney_beans.jpg,,nevo,
27,brown beans,120,g,100,,https://lokcal.app/images/27_brown_beans.jpg,,nevo,
28,cooked sausage,357,g,50,,https://lokcal.app/images/28_cooked_sausage.jpg,,nevo,
29,ice cream,216,g,66,,https://lokcal.app/images/29_ice_cream.jpg,,nevo,
30,apple juice,46,g,240,,https://lokcal.app/images/30_apple_juice.jpg,,nevo,
31,penny waffle,562,g,50,,https://lokcal.app/images/31_penny_waffle.jpg,,nevo,
32,butterhead lettuce,13,g,100,,https://lokcal.app/images/32_butterhead_lettuce.jpg,,nevo,
33,ketjap soy sauce,234,g,15,,https://lokcal.app/images/33_ketjap_soy_sauce.jpg,,nevo,
34,french beans,26,g,100,,https://lokcal.app/images/34_french_beans.jpg,,nevo,
35,pak-choi cabbage,14,g,100,,https://lokcal.app/images/35_pak-choi_cabbage.jpg,,nevo,
36,greek yoghurt,122,g,170,,https://lokcal.app/images/36_greek_yoghurt.jpg,,nevo,
37,skimmed greek yoghurt,56,g,170,,https://lokcal.app/images/37_skimmed_greek_yoghurt.jpg,,nevo,
38,red cabbage,58,g,100,,https://lokcal.app/images/38_red_cabbage.jpg,,nevo,
39,brazil nuts,687,g,30,,https://lokcal.app/images/39_brazil_nuts.jpg,,nevo,
40,walnuts,706,g,30,,https://lokcal.app/images/40_walnuts.jpg,,nevo,
41,chocolate covered raisins,429,g,40,,https://lokcal.app/images/41_chocolate_covered_raisins.jpg,,nevo,
42,lean frankfurter sausage,136,g,50,,https://lokcal.app/images/42_lean_frankfurter_sausage.jpg,,nevo,
43,canned artichoke hearts,27,g,120,,https://lokcal.app/images/43_canned_artichoke_hearts.jpg,,nevo,
44,dried apricots,285,g,40,,https://lokcal.app/images/44_dried_apricots.jpg,,nevo,
46,cheese pastry,580,g,50,,https://lokcal.app/images/46_cheese_pastry.jpg,,nevo,
47,eierkoek,303,g,35,,https://lokcal.app/images/47_eierkoek.jpg,,nevo,
48,camembert cheese 30+,223,g,30,,https://lokcal.app/images/48_camembert_cheese_30.jpg,,nevo,
49,camembert cheese,306,g,30,,https://lokcal.app/images/49_camembert_cheese.jpg,,nevo,
50,orange juice,45,g,240,,https://lokcal.app/images/50_orange_juice.jpg,,nevo,
51,dutch jodekoek biscuit,505,g,25,,https://lokcal.app/images/51_dutch_jodekoek_biscuit.jpg,,nevo,
52,apple sauce,76,g,100,,https://lokcal.app/images/52_apple_sauce.jpg,,nevo,
53,bami vegetables,27,g,200,,https://lokcal.app/images/53_bami_vegetables.jpg,,nevo,
